City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,inyonga,-6.7167,32.0667,21.99,38,1,1.68,TZ,1694815912
217,wynyard,-41.0,145.7167,13.7,82,94,6.89,AU,1694815912
218,banda aceh,5.5577,95.3222,26.34,80,100,2.85,ID,1694815913
219,kukawa,12.9234,13.5606,28.55,58,72,2.33,NG,1694815913
220,rio grande,-32.035,-52.0986,15.06,79,10,4.94,BR,1694815913
221,hammerfest,70.6634,23.6821,3.25,87,0,0.0,NO,1694815652
222,port hueneme,34.1478,-119.1951,28.31,74,100,5.14,US,1694815911
223,ha'il,27.5219,41.6907,28.18,19,52,3.97,SA,1694815914
224,puerto ayora,-0.7393,-90.3518,26.98,85,50,4.02,EC,1694815915
225,la ronge,55.1001,-105.2842,15.18,64,43,2.41,CA,1694815915
226,colonia,50.9333,6.95,18.86,79,0,1.54,DE,1694815915
227,salinopolis,-0.6136,-47.3561,27.06,82,41,5.73,BR,1694815813
228,hilo,19.7297,-155.09,31.27,63,0,4.63,US,1694815772
229,zhosaly,45.4878,64.0781,16.24,42,3,3.35,KZ,1694815917
230,khandyga,62.6667,135.6,2.47,97,100,5.05,RU,1694815917
231,javanrud,34.7961,46.5172,18.13,17,0,2.76,IR,1694815917
232,fort william,56.8165,-5.1121,10.73,94,100,1.75,GB,1694815918
233,remire-montjoly,4.9167,-52.2667,29.02,79,20,1.03,GF,1694815918
234,barcelos,41.5388,-8.6151,21.58,94,92,1.92,PT,1694815768
235,saldanha,-33.0117,17.9442,12.64,64,95,7.68,ZA,1694815919
236,mahajanga,-15.7167,46.3167,23.62,57,8,3.65,MG,1694815825
237,kandyagash,49.4744,57.4233,15.52,63,100,3.63,KZ,1694815919
238,howard springs,-12.497,131.047,22.95,84,43,2.88,AU,1694815920
239,balao,-2.9167,-79.8167,27.31,70,69,3.84,EC,1694815920
240,bonthe,7.5264,-12.505,25.2,89,100,3.58,SL,1694815921
241,margate,51.3813,1.3862,19.27,81,0,1.79,GB,1694815921
242,kone,-21.0595,164.8658,22.23,76,3,2.28,NC,1694815921
243,lompoc,34.6391,-120.4579,28.34,73,75,6.26,US,1694815760
